"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-10-08,281,29.624375,34.99,25.57,0,59.9235416666667,"Primavera"
2009-10-09,282,28.3602083333333,33.23,24.29,0,72.1716666666667,"Primavera"
2009-10-10,283,26.6922916666667,29.85,24.21,0.2,78.3116666666667,"Primavera"
2009-10-11,284,26.99625,33.23,22.56,6.8,77.6441666666667,"Primavera"
2009-10-12,285,26.8516666666667,32.83,24.06,0,77.43875,"Primavera"
2009-10-13,286,25.3675,29.29,22.54,0,83.1733333333333,"Primavera"
2009-10-14,287,26.6191666666667,33.55,23.1,67.2,77.0514583333333,"Primavera"
2009-10-15,288,25.3664583333333,28.27,22.98,10.8,88.0270833333333,"Primavera"
2009-10-16,289,25.1083333333333,30.72,22.45,14.8,87.1385416666667,"Primavera"
2009-10-17,290,26.75125,33.03,23.31,10.8,78.195,"Primavera"
2009-10-18,291,28.529375,33.81,22.55,0,67.6127083333333,"Primavera"
2009-10-19,292,26.8554166666667,31.28,23.46,7.6,76.0647916666667,"Primavera"
2009-10-20,293,25.9347916666667,32,23.18,0.4,80.7085416666667,"Primavera"
2009-10-21,294,27.2322916666667,31.15,23.04,0.6,76.2375,"Primavera"
2009-10-22,295,29.223125,33.82,24.68,0.4,66.6775,"Primavera"
2009-10-23,296,30.4129166666667,34.57,25.19,0.2,54.6939583333333,"Primavera"
2009-10-24,297,30.7210416666667,34.88,26.43,0,49.7566666666667,"Primavera"
2009-10-25,298,30.19375,34.91,25.72,0,55.1925,"Primavera"
2009-10-26,299,30.6577083333333,35.01,25.31,0,54.0091666666667,"Primavera"
2009-10-27,300,31.1895833333333,35.43,26.28,0,50.3279166666667,"Primavera"
2009-10-28,301,26.7460416666667,30.66,21.56,43.4,78.4570833333333,"Primavera"
2009-10-29,302,25.3416666666667,31.15,22.9,41,86.0772916666667,"Primavera"
2009-10-30,303,26.2035416666667,31.1,22.46,0,81.3279166666667,"Primavera"
2009-10-31,304,25.338125,31.27,23.03,51.8,85.5372916666667,"Primavera"
2009-11-01,305,26.9241666666667,31.73,22.77,0.4,77.9308333333333,"Primavera"
2009-11-02,306,25.915625,31.51,22.88,1,81.9075,"Primavera"
